project,manual_annotation,arm,autonima_run,auto_column,broad_arm,dice,pearson_r,r2,studies,points,voxels
emotion_regulation_2022,decrease,autonima,v5-jev,decrease,all_reappraisal:all_analyses,0.6258,0.7873,0.6198,84,2034,228483
emotion_regulation_2022,decrease,baseline_sub,v5-jev,decrease,all_reappraisal:all_analyses,0.4251,0.497,0.247,356,10858,228483
emotion_regulation_2022,decrease,baseline_broad,v5-jev,decrease,all_reappraisal:all_analyses,0.41,0.5085,0.2586,578,16887,228483
emotion_regulation_2022,increase,autonima,v5-jev,increase,all_reappraisal:all_analyses,0.5454,0.6204,0.3849,17,343,228483
emotion_regulation_2022,increase,baseline_sub,v5-jev,increase,all_reappraisal:all_analyses,0.1294,0.3822,0.1461,326,10060,228483
emotion_regulation_2022,increase,baseline_broad,v5-jev,increase,all_reappraisal:all_analyses,0.1105,0.3982,0.1585,578,16887,228483
emotion_regulation_2022,maintain,autonima,v5-jev,maintain,all_reappraisal:all_analyses,0.5477,0.7487,0.5605,52,1215,228483
emotion_regulation_2022,maintain,baseline_broad,v5-jev,maintain,all_reappraisal:all_analyses,0.2093,0.467,0.2181,578,16887,228483
emotion_regulation_2022,reappraisal,autonima,v5-jev,reappraisal,all_reappraisal:all_analyses,0.6848,0.8615,0.7422,78,1645,228483
emotion_regulation_2022,reappraisal,baseline_sub,v5-jev,reappraisal,all_reappraisal:all_analyses,0.5462,0.6927,0.4798,179,6748,228483
emotion_regulation_2022,reappraisal,baseline_broad,v5-jev,reappraisal,all_reappraisal:all_analyses,0.4272,0.547,0.2992,578,16887,228483
